agent: (41.0, 41.0); in hand: nothing; action: down
agent: (42.0, 41.0); in hand: nothing; action: down
agent: (43.0, 41.0); in hand: nothing; action: down
agent: (44.0, 41.0); in hand: nothing; action: right
agent: (44.0, 42.0); in hand: nothing; action: down
agent: (45.0, 42.0); in hand: nothing; action: down
agent: (46.0, 42.0); in hand: nothing; action: down
agent: (47.0, 42.0); in hand: nothing; action: right
agent: (47.0, 43.0); in hand: nothing; action: right
agent: (47.0, 44.0); in hand: nothing; action: right
agent: (47.0, 45.0); in hand: nothing; action: right
agent: (47.0, 46.0); in hand: nothing; action: down
agent: (48.0, 46.0); in hand: nothing; action: down
agent: (49.0, 46.0); in hand: nothing; action: down
agent: (50.0, 46.0); in hand: nothing; action: down
agent: (51.0, 46.0); in hand: nothing; action: down
agent: (52.0, 46.0); in hand: nothing; action: right
agent: (52.0, 47.0); in hand: nothing; action: down
agent: (53.0, 47.0); in hand: nothing; action: down
agent: (54.0, 47.0); in hand: nothing; action: right
agent: (54.0, 48.0); in hand: nothing; action: down
agent: (55.0, 48.0); in hand: nothing; action: down
agent: (56.0, 48.0); in hand: nothing; action: down
agent: (57.0, 48.0); in hand: nothing; action: down
agent: (58.0, 48.0); in hand: nothing; action: right
agent: (58.0, 49.0); in hand: nothing; action: down
agent: (59.0, 49.0); in hand: nothing; action: right
agent: (59.0, 50.0); in hand: nothing; action: right
agent: (59.0, 51.0); in hand: nothing; action: right
agent: (59.0, 52.0); in hand: nothing; action: down
agent: (60.0, 52.0); in hand: nothing; action: down
agent: (61.0, 52.0); in hand: nothing; action: down
agent: (62.0, 52.0); in hand: nothing; action: down
agent: (63.0, 52.0); in hand: nothing; action: right
agent: (63.0, 53.0); in hand: nothing; action: down
agent: (64.0, 53.0); in hand: nothing; action: right
agent: (64.0, 54.0); in hand: nothing; action: right
agent: (64.0, 55.0); in hand: nothing; action: down
agent: (65.0, 55.0); in hand: nothing; action: right
agent: (65.0, 56.0); in hand: nothing; action: right
agent: (65.0, 57.0); in hand: nothing; action: right
agent: (65.0, 58.0); in hand: nothing; action: right
agent: (65.0, 59.0); in hand: nothing; action: right
agent: (65.0, 60.0); in hand: nothing; action: right
agent: (65.0, 61.0); in hand: nothing; action: right
agent: (65.0, 62.0); in hand: nothing; action: right
agent: (65.0, 63.0); in hand: nothing; action: down
agent: (66.0, 63.0); in hand: nothing; action: right
agent: (66.0, 64.0); in hand: nothing; action: right
agent: (66.0, 65.0); in hand: nothing; action: right
agent: (66.0, 66.0); in hand: nothing; action: down
agent: (67.0, 66.0); in hand: nothing; action: down
agent: (68.0, 66.0); in hand: nothing; action: right
agent: (68.0, 67.0); in hand: nothing; action: right
agent: (68.0, 68.0); in hand: nothing; action: down
agent: (69.0, 68.0); in hand: nothing; action: right
