agent: (97.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (98.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (99.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (100.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (101.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (102.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (103.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (104.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: right
agent: (104.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (105.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (106.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (107.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (108.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (109.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (110.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (111.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (112.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (113.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (114.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (115.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (116.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (117.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (118.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (119.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (120.0, 98.0); block-b: (126.0, 98.0); in hand: nothing; action: left
agent: (120.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (121.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (122.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (123.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (124.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: down
agent: (125.0, 97.0); block-b: (126.0, 98.0); in hand: nothing; action: pick up
agent: (125.0, 97.0); block-b: (125.0, 97.0); in hand: block_1.0; action: up
agent: (124.0, 97.0); block-b: (124.0, 97.0); in hand: block_1.0; action: up
agent: (123.0, 97.0); block-b: (123.0, 97.0); in hand: block_1.0; action: up
agent: (122.0, 97.0); block-b: (122.0, 97.0); in hand: block_1.0; action: up
agent: (121.0, 97.0); block-b: (121.0, 97.0); in hand: block_1.0; action: up
agent: (120.0, 97.0); block-b: (120.0, 97.0); in hand: block_1.0; action: up
agent: (119.0, 97.0); block-b: (119.0, 97.0); in hand: block_1.0; action: up
agent: (118.0, 97.0); block-b: (118.0, 97.0); in hand: block_1.0; action: up
agent: (117.0, 97.0); block-b: (117.0, 97.0); in hand: block_1.0; action: up
agent: (116.0, 97.0); block-b: (116.0, 97.0); in hand: block_1.0; action: up
agent: (115.0, 97.0); block-b: (115.0, 97.0); in hand: block_1.0; action: up
agent: (114.0, 97.0); block-b: (114.0, 97.0); in hand: block_1.0; action: up
agent: (113.0, 97.0); block-b: (113.0, 97.0); in hand: block_1.0; action: up
agent: (112.0, 97.0); block-b: (112.0, 97.0); in hand: block_1.0; action: up
agent: (111.0, 97.0); block-b: (111.0, 97.0); in hand: block_1.0; action: up
agent: (110.0, 97.0); block-b: (110.0, 97.0); in hand: block_1.0; action: up
agent: (109.0, 97.0); block-b: (109.0, 97.0); in hand: block_1.0; action: up
agent: (108.0, 97.0); block-b: (108.0, 97.0); in hand: block_1.0; action: up
agent: (107.0, 97.0); block-b: (107.0, 97.0); in hand: block_1.0; action: up
agent: (106.0, 97.0); block-b: (106.0, 97.0); in hand: block_1.0; action: up
agent: (105.0, 97.0); block-b: (105.0, 97.0); in hand: block_1.0; action: up
agent: (104.0, 97.0); block-b: (104.0, 97.0); in hand: block_1.0; action: up
agent: (103.0, 97.0); block-b: (103.0, 97.0); in hand: block_1.0; action: up
agent: (102.0, 97.0); block-b: (102.0, 97.0); in hand: block_1.0; action: up
agent: (101.0, 97.0); block-b: (101.0, 97.0); in hand: block_1.0; action: up
agent: (100.0, 97.0); block-b: (100.0, 97.0); in hand: block_1.0; action: up
agent: (99.0, 97.0); block-b: (99.0, 97.0); in hand: block_1.0; action: up
agent: (98.0, 97.0); block-b: (98.0, 97.0); in hand: block_1.0; action: up
