agent: (97.0, 97.0); block-c: (97.0, 97.0); in hand: block_1.0; action: down
agent: (98.0, 97.0); block-c: (98.0, 97.0); in hand: block_1.0; action: right
agent: (98.0, 98.0); block-c: (98.0, 98.0); in hand: block_1.0; action: down
agent: (99.0, 98.0); block-c: (99.0, 98.0); in hand: block_1.0; action: down
agent: (100.0, 98.0); block-c: (100.0, 98.0); in hand: block_1.0; action: down
agent: (101.0, 98.0); block-c: (101.0, 98.0); in hand: block_1.0; action: right
agent: (101.0, 99.0); block-c: (101.0, 99.0); in hand: block_1.0; action: right
agent: (101.0, 100.0); block-c: (101.0, 100.0); in hand: block_1.0; action: right
agent: (101.0, 101.0); block-c: (101.0, 101.0); in hand: block_1.0; action: right
agent: (101.0, 102.0); block-c: (101.0, 102.0); in hand: block_1.0; action: right
agent: (101.0, 103.0); block-c: (101.0, 103.0); in hand: block_1.0; action: down
agent: (102.0, 103.0); block-c: (102.0, 103.0); in hand: block_1.0; action: right
agent: (102.0, 104.0); block-c: (102.0, 104.0); in hand: block_1.0; action: down
agent: (103.0, 104.0); block-c: (103.0, 104.0); in hand: block_1.0; action: down
agent: (104.0, 104.0); block-c: (104.0, 104.0); in hand: block_1.0; action: down
agent: (105.0, 104.0); block-c: (105.0, 104.0); in hand: block_1.0; action: right
agent: (105.0, 105.0); block-c: (105.0, 105.0); in hand: block_1.0; action: right
agent: (105.0, 106.0); block-c: (105.0, 106.0); in hand: block_1.0; action: right
agent: (105.0, 107.0); block-c: (105.0, 107.0); in hand: block_1.0; action: down
agent: (106.0, 107.0); block-c: (106.0, 107.0); in hand: block_1.0; action: down
agent: (107.0, 107.0); block-c: (107.0, 107.0); in hand: block_1.0; action: right
agent: (107.0, 108.0); block-c: (107.0, 108.0); in hand: block_1.0; action: right
agent: (107.0, 109.0); block-c: (107.0, 109.0); in hand: block_1.0; action: right
agent: (107.0, 110.0); block-c: (107.0, 110.0); in hand: block_1.0; action: down
agent: (108.0, 110.0); block-c: (108.0, 110.0); in hand: block_1.0; action: right
agent: (108.0, 111.0); block-c: (108.0, 111.0); in hand: block_1.0; action: right
agent: (108.0, 112.0); block-c: (108.0, 112.0); in hand: block_1.0; action: down
agent: (109.0, 112.0); block-c: (109.0, 112.0); in hand: block_1.0; action: right
agent: (109.0, 113.0); block-c: (109.0, 113.0); in hand: block_1.0; action: down
agent: (110.0, 113.0); block-c: (110.0, 113.0); in hand: block_1.0; action: right
agent: (110.0, 114.0); block-c: (110.0, 114.0); in hand: block_1.0; action: right
agent: (110.0, 115.0); block-c: (110.0, 115.0); in hand: block_1.0; action: right
agent: (110.0, 116.0); block-c: (110.0, 116.0); in hand: block_1.0; action: down
agent: (111.0, 116.0); block-c: (111.0, 116.0); in hand: block_1.0; action: right
agent: (111.0, 117.0); block-c: (111.0, 117.0); in hand: block_1.0; action: down
agent: (112.0, 117.0); block-c: (112.0, 117.0); in hand: block_1.0; action: down
agent: (113.0, 117.0); block-c: (113.0, 117.0); in hand: block_1.0; action: right
agent: (113.0, 118.0); block-c: (113.0, 118.0); in hand: block_1.0; action: right
agent: (113.0, 119.0); block-c: (113.0, 119.0); in hand: block_1.0; action: right
agent: (113.0, 120.0); block-c: (113.0, 120.0); in hand: block_1.0; action: down
agent: (114.0, 120.0); block-c: (114.0, 120.0); in hand: block_1.0; action: down
agent: (115.0, 120.0); block-c: (115.0, 120.0); in hand: block_1.0; action: down
agent: (116.0, 120.0); block-c: (116.0, 120.0); in hand: block_1.0; action: right
agent: (116.0, 121.0); block-c: (116.0, 121.0); in hand: block_1.0; action: down
agent: (117.0, 121.0); block-c: (117.0, 121.0); in hand: block_1.0; action: right
agent: (117.0, 122.0); block-c: (117.0, 122.0); in hand: block_1.0; action: down
agent: (118.0, 122.0); block-c: (118.0, 122.0); in hand: block_1.0; action: down
agent: (119.0, 122.0); block-c: (119.0, 122.0); in hand: block_1.0; action: down
agent: (120.0, 122.0); block-c: (120.0, 122.0); in hand: block_1.0; action: down
agent: (121.0, 122.0); block-c: (121.0, 122.0); in hand: block_1.0; action: down
agent: (122.0, 122.0); block-c: (122.0, 122.0); in hand: block_1.0; action: right
agent: (122.0, 123.0); block-c: (122.0, 123.0); in hand: block_1.0; action: right
agent: (122.0, 124.0); block-c: (122.0, 124.0); in hand: block_1.0; action: down
agent: (123.0, 124.0); block-c: (123.0, 124.0); in hand: block_1.0; action: down
agent: (124.0, 124.0); block-c: (124.0, 124.0); in hand: block_1.0; action: put down
agent: (124.0, 124.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 123.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 122.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 121.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 120.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (124.0, 119.0); block-c: (125.0, 125.0); in hand: nothing; action: up
agent: (123.0, 119.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 118.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 117.0); block-c: (125.0, 125.0); in hand: nothing; action: left
agent: (123.0, 116.0); block-c: (125.0, 125.0); in hand: nothing; action: left
